Driver,PitLap,Stint,Compound,Year,GP
PIA,1.0,1.0,MEDIUM,2024,Monaco
SAI,1.0,1.0,MEDIUM,2024,Monaco
NOR,1.0,1.0,MEDIUM,2024,Monaco
RUS,1.0,1.0,HARD,2024,Monaco
VER,1.0,1.0,HARD,2024,Monaco
VER,52.0,2.0,MEDIUM,2024,Monaco
HAM,1.0,1.0,HARD,2024,Monaco
HAM,51.0,2.0,MEDIUM,2024,Monaco
TSU,1.0,1.0,MEDIUM,2024,Monaco
ALB,1.0,1.0,MEDIUM,2024,Monaco
GAS,1.0,1.0,HARD,2024,Monaco
ALO,1.0,1.0,HARD,2024,Monaco
RIC,1.0,1.0,MEDIUM,2024,Monaco
BOT,1.0,1.0,HARD,2024,Monaco
BOT,15.0,2.0,MEDIUM,2024,Monaco
STR,1.0,1.0,HARD,2024,Monaco
STR,42.0,2.0,MEDIUM,2024,Monaco
STR,48.0,3.0,HARD,2024,Monaco
SAR,1.0,1.0,HARD,2024,Monaco
SAR,57.0,2.0,HARD,2024,Monaco
ZHO,1.0,1.0,MEDIUM,2024,Monaco
ZHO,70.0,2.0,HARD,2024,Monaco
